"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"18";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18";"CAPACITOR, American symbol";"";"";"";"";
"2";"10k";"G08R";"SIL9";"RN1, RN2";"SIL RESISTOR";"";"";"unknown";"unknown";
"9";"10k";"R-US_0207/10";"0207/10";"R3, R4, R5, R6, R7, R8, R9, R10, R12";"RESISTOR, American symbol";"";"";"";"";
"1";"220uF 10V";"CPOL-US-10-5";"C-10-5";"C19";"";"";"";"";"";
"1";"22k";"R-US_0207/10";"0207/10";"R2";"RESISTOR, American symbol";"";"";"";"";
"2";"270";"R-US_0207/10";"0207/10";"R1, R11";"RESISTOR, American symbol";"";"";"";"";
"1";"28C256";"28256-ZIF28";"228-1277-00";"U1";"28C256 Parallel EEPROM";"";"";"";"";
"1";"2N4403";"TRANSISTOR-PNP-2N4403";"TO92";"Q1";"";"";"";"";"";
"1";"32.768kHz";"CRYSTAL";"CRYSTAL-3X8H";"Y1";"";"";"";"";"";
"1";"7404";"74LS04N";"DIL14";"U8";"Hex INVERTER";"";"";"";"";
"1";"7408";"74LS08N";"DIL14";"U6";"Quad 2-input AND gate";"";"";"";"";
"1";"7410";"74LS10N";"DIL14";"U7";"Triple 3-input NAND gate";"";"";"";"";
"2";"74138";"74LS138N";"DIL16";"U11, U12";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";
"5";"74244";"74LS244N";"DIL20";"U9, U10, U13, U14, U15";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"1";"74245";"74LS245N";"DIL20";"U16";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"1";"74688";"74LS688N";"DIL20";"U5";"8-bit MAGNITUDE/IDENTITY COMPARATOR, totem pole";"";"";"";"";
"2";"AS6C4008";"4008";"DIL32-6";"U2, U3";"";"";"";"";"";
"1";"BQ4845";"BQ4845";"DIL28";"U4";"";"";"";"";"";
"1";"CF-IDE";"CF-IDE";"CF-KYOCERA";"CF1";"";"";"";"";"";
"1";"CR2032";"CR2032SMT";"SMTU2032";"BT1";"";"";"";"";"";
"1";"GREEN";"LED-3-R";"LED-3-R";"D2";"3mm Right-angle LED";"";"";"";"";
"5";"PINHD-1X2THRU";"PINHD-1X2THRU";"1X02";"JP1, JP2, JP3, JP4, JP5";"";"";"";"";"";
"9";"PINHD1X3THRU";"PINHD1X3THRU";"1X03";"JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14";"";"";"";"";"";
"1";"RED";"LED5MM";"LED5MM";"D1";"LED";"";"";"";"";
"1";"SW-DIP03";"SW-DIP03";"SW-DIP3";"S2";"";"";"";"";"";
"1";"SW-DIP08";"SW-DIP08";"SW-DIP8";"S1";"";"";"";"";"";
"1";"XMICRO-BUS-EDGE62M";"XMICRO-BUS-EDGE62M";"EDGE62M";"CE0";"";"";"";"";"";
